scale, offset, width, units,Output,Input->,5555
1.53E-05,0,16,%,0.0849915,,
0.000513579,-12,16,%,-9.147068655,,
0.000514,-12,16,%,-9.14473,,
0.0015259,0,16,%,8.4763745,,
0.001526,0,16,%,8.47693,,
0.0025,0,16,%,13.8875,,
0.003052,-100,16,%,-83.04614,,
0.003052,0,16,%,16.95386,,
0.003112598,-100,16,%,-82.70951811,,
0.025,0,12,%,138.875,,
0.045,0,16,%,249.975,,
0.048852,0,11,%,271.37286,,
0.1,0,10,%,555.5,,
0.1,-100,11,%,455.5,,
0.1,-100,16,%,455.5,,
0.108696,-5.22,10,%,598.58628,,
0.108696,0,16,%,603.80628,,
0.125,0,4,%,694.375,,
0.13725,0,8,%,762.42375,,
0.1953,0,8,%,1084.8915,,
0.2,-100,10,%,1011,,
0.25,0,8,%,1388.75,,
0.39,0,8,%,2166.45,,
0.3906,0,8,%,2169.783,,
0.390625,0,8,%,2169.921875,,
0.390625,-12800,16,%,-10630.07813,,
0.392,0,8,%,2177.56,,
0.392156863,0,8,%,2178.431374,,
0.392157,0,8,%,2178.432135,,
0.392157,0,9,%,2178.432135,,
0.39216,0,8,%,2178.4488,,
0.3922,0,8,%,2178.671,,
0.3937008,0,8,%,2187.007944,,
0.39374,0,8,%,2187.2257,,
0.4,0,8,%,2222,,
0.4694836,-15.0234742,8,%,2592.957924,,
0.469484,-15.0235,8,%,2592.96012,,
0.5,100,4,%,2877.5,,
0.5,-16,6,%,2761.5,,
0.5,-25,8,%,2752.5,,
0.5,0,8,%,2777.5,,
0.5,-127,9,%,2650.5,,
0.5,0,10,%,2777.5,,
0.78125,-100,8,%,4239.84375,,
0.78125,0,8,%,4339.84375,,
0.7874,0,8,%,4374.007,,
0.7874016,0,7,%,4374.015888,,
0.787402,0,7,%,4374.01811,,
0.787402,0,8,%,4374.01811,,
0.787402,0.000456,8,%,4374.018566,,
0.78741,0,7,%,4374.06255,,
0.8,-100,8,%,4344,,
1,0,4,%,5555,,
1,0,6,%,5555,,
1,0,7,%,5555,,
1,-125,8,%,5430,,
1,-100,8,%,5455,,
1,0,8,%,5555,,
1,-256,9,%,5299,,
1,0,10,%,5555,,
